gene_0,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7,gene_8,gene_9,gene_10,gene_11,gene_12,gene_13,gene_14,gene_15,gene_16,gene_17,gene_18,gene_19,gene_20,gene_21,gene_22,gene_23,gene_24,gene_25,gene_26,gene_27,gene_28,gene_29,gene_30,gene_31,gene_32,gene_33,gene_34,gene_35,gene_36,gene_37,gene_38,gene_39,latency_ms,valid_loss
6,2,1,0,1,0,2,1,0,1,2,0,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,77.01328992843628,1.3667732306613058
6,1,1,1,0,1,0,1,0,0,0,-1,-1,-1,-1,-1,0,1,0,1,0,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,41.87923073768616,2.2367232837269277
6,2,1,1,0,0,0,1,0,0,1,1,-1,-1,-1,-1,0,0,1,1,1,0,0,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,2,0,-1,-1,-1,-1,75.01817345619202,1.394336917489245
6,2,1,0,1,0,2,2,2,0,2,1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,77.82569527626038,1.3568036096431855
6,2,1,1,0,0,0,2,0,1,1,1,-1,-1,-1,-1,0,1,1,1,1,1,0,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,2,0,-1,-1,-1,-1,76.55051350593567,1.376345993639941
6,1,1,1,1,0,2,2,0,0,1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,44.94548141956329,1.4860029441033933
6,1,1,1,0,0,1,2,0,1,0,-1,-1,-1,-1,-1,0,0,0,1,0,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,41.41182601451874,2.262724419615718
6,1,1,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,1,0,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,40.460988879203796,2.272194646938911
6,5,0,1,0,2,1,2,2,2,2,0,2,1,1,-1,1,1,1,1,1,1,1,1,1,0,0,-1,1,1,1,1,1,-1,0,0,0,0,1,-1,172.80193567276,1.3050114222852152
6,5,0,0,1,1,2,1,2,2,2,1,1,1,1,-1,0,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,0,-1,0,1,1,2,1,-1,174.50404167175293,1.3000997311515137
6,4,0,0,1,1,1,1,2,0,2,1,2,1,-1,-1,0,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,-1,0,0,2,2,-1,-1,141.53854846954346,1.3057867837843797
6,1,1,1,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,0,0,0,1,0,0,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,42.568227648735046,1.598160371448633
6,2,1,1,0,0,2,0,1,0,1,1,-1,-1,-1,-1,0,1,1,1,0,0,0,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,2,0,-1,-1,-1,-1,75.64208507537842,1.3859536686328315
6,1,1,1,0,1,0,2,0,0,0,-1,-1,-1,-1,-1,0,1,0,1,0,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,42.301079630851746,2.235720700188519
6,1,1,1,0,0,1,0,1,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,39.03685510158539,2.3974363481901744
6,1,1,1,0,0,1,1,1,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,40.025484561920166,2.3298074854498037
6,5,0,0,2,1,2,1,2,0,2,2,2,1,1,-1,0,1,1,1,1,1,1,1,1,1,0,-1,1,1,1,1,0,-1,0,0,0,2,1,-1,173.48850965499878,1.302218353714161
6,5,0,0,2,2,2,0,2,2,2,1,2,1,0,-1,0,1,1,1,0,1,1,1,1,1,1,-1,1,1,1,1,0,-1,0,1,2,2,1,-1,173.14696311950684,1.304157250400354
6,5,0,0,1,1,1,0,2,2,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,0,-1,0,1,1,2,1,-1,176.37931108474731,1.2994270637034273
6,1,1,1,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,0,0,1,1,1,0,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,42.6098495721817,1.544555440251146
6,1,1,1,0,1,1,2,0,0,0,-1,-1,-1,-1,-1,0,1,1,1,0,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,44.46863830089569,1.5088568302813508
6,1,1,1,0,1,1,0,1,0,0,-1,-1,-1,-1,-1,0,0,0,1,0,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,41.023918986320496,2.265920623099119
6,1,1,1,1,1,2,2,0,1,1,-1,-1,-1,-1,-1,0,1,1,1,0,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,44.89065110683441,1.4924853081924738
6,1,1,1,0,0,0,2,1,0,0,-1,-1,-1,-1,-1,0,0,0,1,0,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,41.20846688747406,2.264552745193874
6,4,0,0,1,1,1,1,2,0,2,1,2,1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,-1,0,2,0,2,-1,-1,142.08117723464966,1.3056582784787145
6,4,0,0,1,1,2,1,2,2,2,1,2,1,-1,-1,0,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,-1,0,2,0,2,-1,-1,141.3252353668213,1.305916519763826
6,1,1,1,0,0,1,0,0,0,2,-1,-1,-1,-1,-1,0,0,0,1,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,38.90838325023651,2.430614401502238
6,2,1,1,0,0,0,0,0,1,1,0,-1,-1,-1,-1,0,0,1,1,0,1,0,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,74.89555478096008,1.4057872600953725
6,1,1,1,0,1,0,0,0,0,2,-1,-1,-1,-1,-1,0,0,0,1,0,1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,39.61322605609894,2.3793585332103953
6,2,1,1,0,2,1,1,0,1,1,1,-1,-1,-1,-1,0,1,1,1,1,1,0,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,2,0,-1,-1,-1,-1,77.00321674346924,1.3750549330763757
6,2,1,1,1,0,2,2,0,0,2,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,0,2,-1,-1,-1,-1,78.58136892318726,1.3559721109847167
6,1,1,1,0,0,1,0,0,0,2,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,37.97968327999115,2.4955206436146744
6,2,0,1,0,2,2,2,0,2,2,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,0,2,-1,-1,-1,-1,79.43112850189209,1.3546352008624312
6,4,0,0,1,1,2,1,0,2,1,1,2,1,-1,-1,0,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,-1,0,1,2,2,-1,-1,143.12504529953003,1.3054944046875394
6,3,0,1,2,1,2,2,2,0,2,1,2,-1,-1,-1,0,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,0,2,0,-1,-1,-1,110.07317304611206,1.3167793462307258
6,1,0,0,1,1,2,2,2,1,2,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,50.41305422782898,1.4698660631696066
6,1,1,1,0,1,1,2,0,0,0,-1,-1,-1,-1,-1,0,1,1,1,0,0,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,44.19844448566437,1.5222167256593448
6,2,1,1,0,1,2,2,0,0,1,1,-1,-1,-1,-1,0,1,1,1,0,1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,77.164626121521,1.359926496308026
6,2,1,0,0,2,2,2,0,0,2,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,77.24191546440125,1.3577551152194043
6,2,1,1,0,1,0,1,0,0,1,1,-1,-1,-1,-1,0,0,1,1,0,1,0,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,2,0,-1,-1,-1,-1,75.16340613365173,1.3921161712279289
6,5,0,0,1,1,2,1,0,0,1,1,2,0,1,-1,0,1,1,1,1,1,1,1,1,1,0,-1,1,1,1,1,0,-1,0,1,0,2,1,-1,176.19038820266724,1.299796609430637
