gene_0,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7,gene_8,gene_9,gene_10,gene_11,gene_12,gene_13,gene_14,gene_15,gene_16,gene_17,gene_18,gene_19,gene_20,gene_21,gene_22,gene_23,gene_24,gene_25,gene_26,gene_27,gene_28,gene_29,gene_30,gene_31,gene_32,gene_33,gene_34,gene_35,gene_36,gene_37,gene_38,gene_39,latency_ms,valid_loss
6,1,1,1,1,0,1,0,2,0,0,-1,-1,-1,-1,-1,0,0,0,1,0,1,1,-1,-1,1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,41.41182601451874,2.2646649954862683
6,2,0,1,1,1,2,2,0,2,1,2,-1,-1,2,0,0,1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,0,2,1,-1,2,-1,79.0320098400116,1.3538591431484606
6,1,1,0,0,0,2,1,2,0,1,-1,-1,-1,-1,-1,0,1,1,1,0,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,45.81252038478851,1.4804222535530767
6,1,1,1,1,0,1,2,2,0,1,-1,-1,-1,-1,-1,0,1,1,1,1,0,1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,0,-1,-1,1,0,-1,44.82077658176422,1.4935364904440604
6,1,1,1,0,0,0,0,0,0,2,-1,-1,-1,2,-1,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,2,0,-1,-1,-1,-1,37.778440117836,2.498344645239813
6,1,1,1,0,1,1,1,0,0,1,-1,-1,2,-1,-1,0,1,1,1,1,1,0,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,2,-1,-1,0,-1,2,43.81629526615143,1.5173042795549234
6,1,1,1,0,0,1,1,0,0,2,-1,-1,-1,-1,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,2,-1,-1,-1,-1,-1,38.23235332965851,2.4921620460434886
6,1,1,1,1,0,1,0,1,0,0,0,-1,-1,-1,-1,0,0,0,1,0,1,1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,41.023918986320496,2.2652599931646145
6,1,1,1,0,0,0,0,0,0,2,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,1,-1,-1,-1,0,-1,1,-1,0,-1,2,-1,-1,-1,-1,2,38.68463933467865,2.449299777773496
6,1,1,1,0,1,1,1,0,0,1,-1,-1,-1,-1,-1,0,1,1,1,1,1,0,-1,-1,-1,-1,-1,1,-1,-1,0,-1,-1,2,-1,-1,2,-1,-1,43.81629526615143,1.5173042795549234
