vector_0,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10,vector_11,vector_12,vector_13,vector_14,vector_15,vector_16,vector_17,vector_18,vector_19,vector_20,vector_21,vector_22,accuracy,latency,memory
2,0,2,0,0,1,1,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63.8475,0.0222600650787353,4858.9
4,1,0,0,1,0,1,2,0,1,1,1,1,0,0,1,1,0,1,0,0,0,-1,73.48124999999999,0.0316588854789733,5289.85
4,0,0,0,1,0,1,2,1,0,1,0,1,1,1,0,0,1,1,0,1,1,-1,70.20375,0.028987009525299,5364.83
4,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,-1,71.2175,0.0271638989448547,5225.78
2,1,2,0,1,0,0,0,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.5775,0.0168995976448059,4856.27
4,0,1,1,1,0,0,0,0,1,0,1,2,0,1,0,1,2,0,1,0,1,-1,68.37499999999999,0.021123821735382,5611.75
4,0,2,0,0,0,1,0,0,1,0,0,2,1,1,1,0,1,0,1,1,0,-1,70.715,0.032148802280426,5367.3
4,1,1,1,0,0,1,0,0,1,1,0,2,1,0,0,0,1,0,1,1,0,-1,71.6275,0.0289008426666259,5374.51
2,0,2,1,1,1,0,2,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68.1025,0.0184408593177795,5107.97
4,0,2,1,0,0,1,0,1,0,1,0,1,1,1,0,0,1,1,0,1,1,-1,70.72,0.0301099562644958,5364.83
2,0,0,1,0,1,1,1,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.42124999999999,0.0143476605415344,4851.9
2,1,0,0,1,0,0,0,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65.64125,0.0096095347404479,4712.19
4,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,-1,73.0425,0.0257158231735229,5297.86
2,0,1,0,0,0,0,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63.96375,0.0051085591316223,4791.73
4,1,2,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,-1,72.32875,0.028632743358612,5304.93
4,1,0,1,0,0,1,2,1,0,1,1,0,1,0,0,1,0,0,1,1,1,-1,73.80125000000001,0.0338147401809692,5289.42
2,1,2,0,1,0,0,1,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.295,0.0153759336471557,4857.17
4,1,1,1,1,0,0,2,0,1,1,0,0,0,1,0,0,0,1,0,1,0,-1,71.55,0.0300192403793334,5287.5
2,1,2,1,1,1,0,1,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69.42125,0.0157660937309265,4858.0
2,1,0,0,1,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65.83624999999999,0.0088847422599792,4720.07
2,1,0,0,0,1,0,2,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69.52,0.0164829158782959,5099.97
2,1,1,0,1,1,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69.97,0.0135109615325927,4767.74
2,0,2,1,1,1,1,1,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.58125,0.0163599824905395,4836.52
2,0,0,0,1,0,0,1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64.495,0.0069469165802001,4768.69
4,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,2,1,1,1,1,-1,72.755,0.0337149977684021,5623.38
4,1,2,0,1,0,0,1,0,1,1,0,1,1,1,0,1,2,1,1,0,0,-1,73.3675,0.0249381041526794,5610.66
2,0,2,1,0,0,0,0,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65.3075,0.0116755557060241,4835.56
2,0,2,1,0,1,0,1,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.80999999999999,0.0213869023323059,4862.18
2,0,0,1,1,0,0,1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63.5825,0.0076220893859863,4787.89
2,1,2,0,0,0,1,1,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,58.29875,0.0148713970184326,4856.58
4,1,2,0,1,0,0,1,1,1,1,1,1,1,0,0,0,2,1,1,1,1,-1,73.97874999999999,0.0313025021553039,5596.29
4,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,2,0,0,1,0,-1,70.8325,0.0347170090675354,5611.19
4,1,0,0,0,1,1,2,0,0,1,0,0,1,0,1,0,1,0,1,0,1,-1,74.22874999999999,0.0363709115982055,5372.66
2,0,2,0,1,1,0,1,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.06875,0.0154517269134521,4861.21
2,0,0,0,0,0,1,0,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63.91375,0.0090966176986694,4714.69
2,1,0,0,1,1,1,1,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69.18125,0.0136781167984008,4849.34
4,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,2,0,1,1,0,-1,72.97874999999999,0.0309593629837036,5613.22
4,1,1,1,1,0,1,2,1,1,1,0,2,0,0,1,0,0,1,0,0,1,-1,73.84125,0.0332074499130249,5368.38
2,0,2,0,1,0,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65.12375,0.0159573340415954,4854.05
2,0,2,1,0,0,1,2,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64.1975,0.0196287250518798,5104.31
2,1,0,0,1,1,1,2,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69.71875,0.0228541803359985,5104.4
2,1,1,1,0,0,1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68.27875,0.0072064733505249,4794.19
2,1,1,0,1,0,0,2,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65.65625,0.0091131520271301,5106.82
4,0,2,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,-1,69.73875,0.0301051807403564,5290.98
4,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,2,0,0,0,0,-1,74.29125,0.0239459300041198,5615.94
2,1,2,0,0,0,0,2,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.7025,0.0131260132789611,5103.3
4,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,2,0,0,0,1,-1,70.555,0.0251017880439758,5596.12
4,1,2,1,0,1,0,2,0,0,0,0,2,1,0,0,0,1,1,0,0,0,-1,73.74125,0.028185486793518,5365.94
4,1,2,0,1,0,1,0,1,1,1,1,2,0,1,1,1,0,1,0,0,0,-1,74.13875,0.0355547499656677,5365.95
4,0,0,1,0,0,1,2,1,1,1,0,1,1,1,1,0,2,0,0,1,0,-1,71.41,0.0376685667037963,5615.86
4,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,2,1,0,0,1,-1,72.33749999999999,0.0211502933502197,5619.38
2,0,1,0,0,0,0,2,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64.5025,0.0145767021179199,5095.3
2,1,1,0,0,0,1,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.02250000000001,0.0073055171966552,4789.58
4,0,1,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,-1,70.57375,0.0308785557746887,5224.33
2,1,0,1,0,1,1,0,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68.63625,0.0212703347206115,4717.62
2,1,0,0,1,0,1,2,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65.98124999999999,0.0111598563194274,5111.78
4,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,-1,70.73125,0.0172675132751464,5301.37
4,1,2,1,0,0,1,2,0,1,0,0,0,0,0,0,0,2,0,0,1,0,-1,72.99625,0.0302226281166076,5624.66
