vector_0,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10,vector_11,vector_12,vector_13,vector_14,vector_15,vector_16,vector_17,vector_18,vector_19,vector_20,vector_21,vector_22,accuracy,latency
4,0,2,1,0,1,1,2,0,1,1,0,1,1,0,0,0,1,1,0,1,0,-1,70.71375,2.952179316520691
2,0,0,0,0,0,1,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64.02125000000001,1.8148988695144654
2,0,2,0,0,1,1,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63.8475,1.6650420813560485
4,1,0,0,1,0,1,2,0,1,1,1,1,0,0,1,1,0,1,0,0,0,-1,73.48124999999999,3.273537659883499
4,0,0,0,1,0,1,2,1,0,1,0,1,1,1,0,0,1,1,0,1,1,-1,70.20375,2.531320801973343
4,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,-1,71.2175,3.060438215970993
2,1,2,0,1,0,0,0,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.5775,1.7719055716991425
4,0,1,1,1,0,0,0,0,1,0,1,2,0,1,0,1,2,0,1,0,1,-1,68.37499999999999,1.7215404365062714
4,0,2,0,0,0,1,0,0,1,0,0,2,1,1,1,0,1,0,1,1,0,-1,70.715,2.977977422475815
4,1,1,1,0,0,1,0,0,1,1,0,2,1,0,0,0,1,0,1,1,0,-1,71.6275,2.837660037755966
2,0,2,1,1,1,0,2,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68.1025,2.239719182252884
4,0,2,1,0,0,1,0,1,0,1,0,1,1,1,0,0,1,1,0,1,1,-1,70.72,2.520700134038925
2,0,0,1,0,1,1,1,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.42124999999999,1.992893019914627
2,1,0,0,1,0,0,0,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65.64125,2.0735423309803007
4,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,-1,73.0425,3.1841596603393554
2,0,1,0,0,0,0,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63.96375,1.829522132396698
4,1,2,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,-1,72.32875,2.5675492510795594
4,1,0,1,0,0,1,2,1,0,1,1,0,1,0,0,1,0,0,1,1,1,-1,73.80125000000001,3.2574055669307707
2,1,2,0,1,0,0,1,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.295,2.217826218366623
4,1,1,1,1,0,0,2,0,1,1,0,0,0,1,0,0,0,1,0,1,0,-1,71.55,3.2720213167667387
2,1,2,1,1,1,0,1,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69.42125,2.009145432472229
2,1,0,0,1,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65.83624999999999,2.0259650578498842
2,1,0,0,0,1,0,2,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69.52,2.207348692178726
2,1,1,0,1,1,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69.97,2.506651407957077
2,0,2,1,1,1,1,1,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.58125,1.7469845790863037
2,0,0,0,1,0,0,1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64.495,1.8071300239562988
4,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,2,1,1,1,1,-1,72.755,4.020879156112671
4,1,2,0,1,0,0,1,0,1,1,0,1,1,1,0,1,2,1,1,0,0,-1,73.3675,3.090882881164551
2,0,2,1,0,0,0,0,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65.3075,1.8411575083732605
2,0,2,1,0,1,0,1,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.80999999999999,2.1742491958141326
2,0,0,1,1,0,0,1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63.582499999999996,1.8402515985965728
2,1,2,0,0,0,1,1,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,58.29875,2.186286375045776
4,1,2,0,1,0,0,1,1,1,1,1,1,1,0,0,0,2,1,1,1,1,-1,73.97874999999999,3.525387546777725
4,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,2,0,0,1,0,-1,70.8325,2.8666171021461486
4,1,0,0,0,1,1,2,0,0,1,0,0,1,0,1,0,1,0,1,0,1,-1,74.22874999999999,3.070272234916687
2,0,2,0,1,1,0,1,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.06875,1.7166847488880157
2,0,0,0,0,0,1,0,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63.91375,1.7983708953857422
2,1,0,0,1,1,1,1,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69.18125,2.546704399347305
4,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,2,0,1,1,0,-1,72.97874999999999,3.2591672098636626
4,1,1,1,1,0,1,2,1,1,1,0,2,0,0,1,0,0,1,0,0,1,-1,73.84125,2.6510819442272187
2,0,2,0,1,0,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65.12375,2.2341890342235566
2,0,2,1,0,0,1,2,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64.1975,2.2254943270683287
2,1,0,0,1,1,1,2,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69.71875,2.667869478702545
2,1,1,1,0,0,1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68.27875,2.088780822992325
2,1,1,0,1,0,0,2,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65.65625,2.0452633368968964
4,0,2,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,-1,69.73875,2.4618087170124054
4,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,2,0,0,0,0,-1,74.29125,3.0612766752243044
2,1,2,0,0,0,0,2,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.7025,2.0304364812374116
4,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,2,0,0,0,1,-1,70.555,2.5858425765037536
4,1,2,1,0,1,0,2,0,0,0,0,2,1,0,0,0,1,1,0,0,0,-1,73.74125,2.788290225982666
4,1,2,0,1,0,1,0,1,1,1,1,2,0,1,1,1,0,1,0,0,0,-1,74.13875,3.528428648471832
4,0,0,1,0,0,1,2,1,1,1,0,1,1,1,1,0,2,0,0,1,0,-1,71.41,3.211764334201813
4,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,2,1,0,0,1,-1,72.33749999999999,2.581521767616272
2,0,1,0,0,0,0,2,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64.5025,2.216729761600494
2,1,1,0,0,0,1,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.02250000000001,2.0455872011184693
4,0,1,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,-1,70.57375,2.888244619846344
2,1,0,1,0,1,1,0,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68.63625,2.6913710064888
2,1,0,0,1,0,1,2,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65.98124999999999,2.0341815857887267
4,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,-1,70.73125,1.8410423214435578
4,1,2,1,0,0,1,2,0,1,0,0,0,0,0,0,0,2,0,0,1,0,-1,72.99625,2.7588691296577452
4,0,2,1,1,0,1,2,0,1,0,0,1,1,1,1,1,0,0,0,0,1,-1,70.86874999999999,2.605902109384537
2,0,2,1,1,0,0,1,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,62.5925,2.2170970323085784
4,0,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1,2,1,0,0,1,-1,70.83125,2.6866770849227906
4,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,1,0,-1,70.75,3.052102224588394
2,1,1,0,0,0,1,1,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65.26875,2.208038700580597
4,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,2,0,1,1,1,-1,72.60874999999999,3.6814949674606323
4,0,0,0,0,1,0,1,0,0,1,1,2,1,0,1,1,1,0,0,0,0,-1,71.17875000000001,2.622885499715805
2,1,1,1,0,0,0,2,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.935,2.056541936635971
4,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,-1,68.26875,2.57192489528656
4,0,2,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,-1,70.565,3.143091367006302
